# ----------------------------------------
# Report CSV Export
# Account: Clown Monster
# Property: HackerRankSolutions
# ----------------------------------------
# 
# All Users
# Start date: 20201123
# End date: 20210523

Page title and screen class,Users
Compare two linked lists - HackerRank Solutions,58,49,22,1.183673469387755,52.02040816326531,14,178,0,0
Inserting a Node Into a Sorted Doubly Linked List - HackerRank Solutions,66,49,19,1.346938775510204,77.89795918367346,32,220,0,0
Truck Tour - HackerRank Solutions,59,49,30,1.2040816326530612,32.48979591836735,18,194,0,0
Migratory Birds - HackerRank Solutions,64,48,39,1.3333333333333333,52.541666666666664,32,241,0,0
Solve Me First - HackerRank Solutions,150,45,22,3.3333333333333335,63.977777777777774,31,392,0,0
Diagonal Difference - HackerRank Solutions,59,44,19,1.3409090909090908,41.75,27,191,0,0
For Loops in c - HackerRank Solutions,52,43,25,1.2093023255813953,44.06976744186046,35,202,0,0
Greedy Florist - HackerRank Solutions,74,43,35,1.7209302325581395,77.18604651162791,17,214,0,0
Waiter - HackerRank Solutions,50,43,31,1.1627906976744187,17.627906976744185,11,157,0,0
Iterables and Iterators python - HackerRank Solutions,51,41,16,1.2439024390243902,37.31707317073171,28,183,0,0
2D Array-DS - HackerRank Solutions,44,40,19,1.1,43.9,20,153,0,0
Arithmetic Operators - HackerRank Solutions,48,40,27,1.2,35.1,34,185,0,0
Input() python - HackerRank Solutions,45,40,25,1.125,26.15,32,178,0,0
Kitty's Calculations on a Tree - HackerRank Solutions,47,39,5,1.205128205128205,50.46153846153846,21,127,0,0
Merge two sorted linked lists - HackerRank Solutions,47,39,18,1.205128205128205,58.84615384615385,14,142,0,0
Picking Numbers - HackerRank Solutions,48,38,18,1.263157894736842,74.23684210526316,28,177,0,0
Circular Array Rotation - HackerRank Solutions,39,37,23,1.054054054054054,42.54054054054054,23,151,0,0
Arrays Introduction C++ - HackerRank Solutions,42,36,19,1.1666666666666667,35.69444444444444,26,155,0,0
Jenny's Subtrees - HackerRank Solutions,46,36,18,1.2777777777777777,52.44444444444444,16,154,0,0
Cats and a Mouse - HackerRank Solutions,39,35,28,1.1142857142857143,56.371428571428574,25,159,0,0
Print in Reverse - HackerRank Solutions,47,35,10,1.3428571428571427,54.2,12,128,0,0
Functions C++ - HackerRank Solutions,37,34,28,1.088235294117647,45.8235294117647,26,163,0,0
Pointers in c - HackerRank Solutions,38,34,14,1.1176470588235294,30.941176470588236,23,132,0,0
Insert a Node at the head of a Linked List - HackerRank Solutions,39,33,13,1.1818181818181819,58.39393939393939,18,133,0,0
Tree: Huffman Decoding - HackerRank Solutions,34,33,29,1.0303030303030303,41.06060606060606,22,150,0,0
Tree: Postorder Traversal - HackerRank Solutions,47,33,23,1.4242424242424243,47.42424242424242,23,172,0,0
Tree: Preorder Traversal - HackerRank Solutions,40,33,22,1.2121212121212122,44.93939393939394,22,147,0,0
Valid Username Regular Expression Java - HackerRank Solutions,37,33,21,1.121212121212121,27.939393939393938,30,155,0,0
Collections.namedtuple() python - HackerRank Solutions,40,32,17,1.25,31.625,29,154,0,0
Delete a Node - HackerRank Solutions,39,32,10,1.21875,37.125,12,117,0,0
Java BigDecimal - HackerRank Solutions,42,32,27,1.3125,68.5,22,145,0,0
Subarray Division - HackerRank Solutions,38,32,20,1.1875,62.8125,15,144,0,0
Delete duplicate-value nodes from a sorted linked list - HackerRank Solutions,45,31,7,1.4516129032258065,90.06451612903226,21,136,0,0
Java Stdin and Stdout II - HackerRank Solutions,35,31,28,1.1290322580645162,31.93548387096774,23,146,0,0
Word Order Python - HackerRank Solutions,37,31,7,1.1935483870967742,42.516129032258064,24,127,0,0
Input and Output C++ - HackerRank Solutions,36,30,28,1.2,47.2,20,152,0,0
Java Interface - HackerRank Solutions,38,30,21,1.2666666666666666,47.1,18,134,0,0
"Mean, Var, and Std python - HackerRank Solutions",36,30,15,1.2,23.566666666666666,26,133,0,0
Reverse a doubly linked list - HackerRank Solutions,42,30,10,1.4,62.266666666666666,16,125,0,0
The Hurdle Race - HackerRank Solutions,32,30,16,1.0666666666666667,30.933333333333334,16,112,0,0
Concatenate python - HackerRank Solutions,36,29,12,1.2413793103448276,44.58620689655172,21,133,0,0
Equal Stacks - HackerRank Solutions,36,29,20,1.2413793103448276,33.172413793103445,11,130,0,0
Insert a Node at the Tail of a Linked List - HackerRank Solutions,33,29,5,1.1379310344827587,34.44827586206897,11,92,0,0
Tree Coordinates - HackerRank Solutions,33,29,2,1.1379310344827587,88.75862068965517,20,92,0,0
A Very Big Sum - HackerRank Solutions,32,28,13,1.1428571428571428,41.142857142857146,16,107,0,0
Java Abstract Class - HackerRank Solutions,28,28,19,1,39.25,16,108,0,0
Python: Division - HackerRank Solutions,35,28,14,1.25,42.214285714285715,20,123,0,0
Strings: Making Anagrams - HackerRank Solutions,36,28,22,1.2857142857142858,100.21428571428571,19,145,0,0
Variadic functions in C - HackerRank Solutions,35,28,14,1.25,44.607142857142854,21,131,0,0
Zeros and Ones python - HackerRank Solutions,33,28,6,1.1785714285714286,29.178571428571427,24,117,0,0
Collections.deque() python - HackerRank Solutions,29,27,15,1.0740740740740742,35.25925925925926,17,109,0,0
Mutations Python - HackerRank Solutions,28,27,11,1.037037037037037,40.22222222222222,22,110,0,0
Set.difference() Operation - HackerRank Solutions,39,27,10,1.4444444444444444,38.333333333333336,23,131,0,0
Sum and Difference of Two Numbers - HackerRank Solutions,35,27,7,1.2962962962962963,34.592592592592595,21,113,0,0
CamelCase - HackerRank Solutions,29,26,17,1.1153846153846154,23.73076923076923,10,105,0,0
Java Stack - HackerRank Solutions,30,26,24,1.1538461538461537,29.26923076923077,18,124,0,0
Playing with Characters - HackerRank Solutions,35,26,10,1.3461538461538463,34.96153846153846,20,117,0,0
Short Palindrome - HackerRank Solutions,47,26,21,1.8076923076923077,30.923076923076923,5,135,0,0
StringStream C++ - HackerRank Solutions,30,26,18,1.1538461538461537,40,17,119,0,0
Apple and Orange - HackerRank Solutions,26,25,14,1.04,24.96,13,95,0,0
Classes: Dealing with Complex Numbers python - HackerRank Solutions,27,25,17,1.08,41.88,20,109,0,0
Java End-of-file - HackerRank Solutions,26,25,20,1.04,59.84,17,107,0,0
Plus Minus - HackerRank Solutions,31,25,9,1.24,50.64,14,99,0,0
Square-Ten Tree - HackerRank Solutions,28,25,8,1.12,63.84,13,86,0,0
Variable Sized Arrays - HackerRank Solutions,35,25,16,1.4,48.76,21,134,0,0
Bill Division - HackerRank Solutions,24,24,15,1,26,14,94,0,0
Components in a graph - HackerRank Solutions,29,24,12,1.2083333333333333,61.625,13,100,0,0
Largest Rectangle - HackerRank Solutions,28,24,9,1.1666666666666667,112.83333333333333,10,85,0,0
Sequence Equation - HackerRank Solutions,29,24,14,1.2083333333333333,68.625,8,101,0,0
"Set.discard(), remove() & pop() Python - HackerRank Solutions",32,24,10,1.3333333333333333,35.375,21,123,0,0
The Coin Change Problem - HackerRank Solutions,33,24,13,1.375,55.916666666666664,14,113,0,0
The Longest Increasing Subsequence - HackerRank Solutions,32,24,21,1.3333333333333333,133.375,14,123,0,0
Tree: Height of a Binary Tree - HackerRank Solutions,41,24,5,1.7083333333333333,73.16666666666667,16,122,0,0
C++ Class Templates - HackerRank Solutions,28,23,6,1.2173913043478262,31.043478260869566,19,90,0,0
Abstract Classes - Polymorphism C++ - HackerRank Solutions,26,22,12,1.1818181818181819,28.09090909090909,18,95,0,0
Forming a Magic Square - HackerRank Solutions,24,22,8,1.0909090909090908,101.68181818181819,12,79,0,0
What's Your Name? Python - HackerRank Solutions,30,22,7,1.3636363636363635,50.31818181818182,16,97,0,0
itertools.permutations() python - HackerRank Solutions,25,22,8,1.1363636363636365,30.727272727272727,18,88,0,0
Ashton and String - HackerRank Solutions,21,21,12,1,67,6,73,0,0
Balanced Forest - HackerRank Solutions,23,21,3,1.0952380952380953,62.142857142857146,5,57,0,0
Candies - HackerRank Solutions,25,21,14,1.1904761904761905,38.42857142857143,9,87,0,0
Company Logo Python - HackerRank Solutions,26,20,10,1.3,25.75,12,84,0,0
Get Node Value - HackerRank Solutions,23,20,6,1.15,51.65,12,73,0,0
Is This a Binary Search Tree? - HackerRank Solutions,23,20,2,1.15,47.85,14,65,0,0
Java Substring Comparisons - HackerRank Solutions,22,20,12,1.1,55.1,14,87,0,0
Capitalize! Python - HackerRank Solutions,21,19,9,1.105263157894737,31.526315789473685,12,72,0,0
Java 1D Array - HackerRank Solutions,21,19,12,1.105263157894737,20,17,90,0,0
No Prefix Set - HackerRank Solutions,22,19,12,1.1578947368421053,49.73684210526316,8,77,0,0
Pointer C++ - HackerRank Solutions,21,19,14,1.105263157894737,41.10526315789474,16,88,0,0
Self Balancing Tree - HackerRank Solutions,23,19,9,1.2105263157894737,43.26315789473684,11,78,0,0
Swap Nodes [Algo] - HackerRank Solutions,21,19,13,1.105263157894737,33.10526315789474,6,72,0,0
Words Score Python - HackerRank Solutions,22,19,8,1.1578947368421053,28.57894736842105,16,80,0,0
Collections.OrderedDict() python - HackerRank Solutions,20,18,5,1.1111111111111112,85.77777777777777,15,72,0,0
Crossword Puzzle - HackerRank Solutions,20,18,11,1.1111111111111112,38.72222222222222,10,78,0,0
DefaultDict Tutorial python - HackerRank Solutions,20,18,5,1.1111111111111112,36.888888888888886,12,70,0,0
Java Inheritance II - HackerRank Solutions,18,18,11,1,34.111111111111114,13,72,0,0
Java Regex - HackerRank Solutions,23,18,9,1.2777777777777777,48.333333333333336,11,78,0,0
Prime Dates - HackerRank Solutions,23,18,11,1.2777777777777777,35.94444444444444,17,81,0,0
Set .intersection() Operation - HackerRank Solutions,21,18,7,1.1666666666666667,28.333333333333332,15,77,0,0
String Validators Python - HackerRank Solutions,20,18,8,1.1111111111111112,52.5,15,78,0,0
Substring Diff - HackerRank Solutions,21,18,15,1.1666666666666667,107.27777777777777,10,81,0,0
Tag Content Extractor Java - HackerRank Solutions,19,18,10,1.0555555555555556,85.38888888888889,11,76,0,0
Array Reversal - HackerRank Solutions,29,17,10,1.7058823529411764,34.1764705882353,7,81,0,0
Binary Search Tree : Lowest Common Ancestor - HackerRank Solutions,23,17,0,1.3529411764705883,60.88235294117647,14,60,0,0
Calendar Module python - HackerRank Solutions,20,17,4,1.1764705882352942,30.764705882352942,15,70,0,0
Castle on the Grid - HackerRank Solutions,17,17,6,1,14.294117647058824,3,43,0,0
Kindergarten Adventures - HackerRank Solutions,30,17,11,1.7647058823529411,226.76470588235293,6,100,0,0
Mod Divmod Python - HackerRank Solutions,17,17,5,1,30,12,59,0,0
"Say ""Hello, World!"" With Python - HackerRank Solutions",25,17,4,1.4705882352941178,17.352941176470587,14,80,0,0
Any or All python - HackerRank Solutions,18,16,11,1.125,35.75,13,73,0,0
Dynamic Array - HackerRank Solutions,17,16,7,1.0625,32.375,3,51,0,0
Find a string Python - HackerRank Solutions,19,16,5,1.1875,53.9375,10,58,0,0
Hyper Strings - HackerRank Solutions,21,16,8,1.3125,61,8,70,0,0
Lego Blocks - HackerRank Solutions,18,16,14,1.125,51.875,7,78,0,0
Messages Order C++ - HackerRank Solutions,21,16,9,1.3125,47.6875,14,80,0,0
QHEAP1 - HackerRank Solutions,19,16,2,1.1875,62.5625,6,46,0,0
Querying the Document C - HackerRank Solutions,19,16,5,1.1875,32.75,11,59,0,0
Array Manipulation - HackerRank Solutions,33,15,1,2.2,61.6,5,72,0,0
Array Pairs - HackerRank Solutions,19,15,1,1.2666666666666666,29.133333333333333,14,53,0,0
Arrays python - HackerRank Solutions,18,15,7,1.2,40.8,12,67,0,0
Basic Data Types C++ - HackerRank Solutions,17,15,10,1.1333333333333333,33,12,66,0,0
Contacts - HackerRank Solutions,19,15,9,1.2666666666666666,133.26666666666668,8,65,0,0
Default Arguments Python - HackerRank Solutions,17,15,3,1.1333333333333333,19.933333333333334,13,54,0,0
Java Stdin and Stdout I - HackerRank Solutions,19,15,14,1.2666666666666666,44.4,12,78,0,0
Lena Sort - HackerRank Solutions,18,15,14,1.2,57.733333333333334,12,76,0,0
Map and Lambda Function python - HackerRank Solutions,21,15,7,1.4,29.6,11,76,0,0
Piling Up! python - HackerRank Solutions,15,15,4,1,23.933333333333334,11,48,0,0
Sorting Array of Strings C - HackerRank Solutions,20,15,5,1.3333333333333333,91.66666666666667,8,63,0,0
Alphabet Rangoli Python - HackerRank Solutions,16,14,7,1.1428571428571428,38.714285714285715,13,62,0,0
Beautiful Days at the Movies - HackerRank Solutions,16,14,8,1.1428571428571428,48.785714285714285,8,55,0,0
Boxes through a Tunnel C - HackerRank Solutions,17,14,7,1.2142857142857142,43.142857142857146,11,59,0,0
Classes and Objects C++ - HackerRank Solutions,16,14,8,1.1428571428571428,26.142857142857142,12,62,0,0
Cycle Detection - HackerRank Solutions,19,14,0,1.3571428571428572,36.857142857142854,7,43,0,0
Digit Frequency - HackerRank Solutions,16,14,6,1.1428571428571428,57.07142857142857,9,52,0,0
Jumping on the Clouds - HackerRank Solutions,15,14,5,1.0714285714285714,52.142857142857146,9,52,0,0
Knapsack - HackerRank Solutions,17,14,11,1.2142857142857142,43.57142857142857,10,68,0,0
Linear Algebra python - HackerRank Solutions,15,14,5,1.0714285714285714,30.5,10,52,0,0
Nested Lists - HackerRank Solutions,20,14,2,1.4285714285714286,139.5,11,62,0,0
Python Evaluation - HackerRank Solutions,15,14,4,1.0714285714285714,33,14,52,0,0
Sales by Match - HackerRank Solutions,14,14,7,1,20.928571428571427,7,46,0,0
Time Conversion - HackerRank Solutions,15,14,4,1.0714285714285714,24.214285714285715,6,44,0,0
Tuples - HackerRank Solutions,15,14,2,1.0714285714285714,18,10,49,0,0
Breaking the Records - HackerRank Solutions,13,13,6,1,19.615384615384617,5,42,0,0
Build a String - HackerRank Solutions,16,13,6,1.2307692307692308,75.38461538461539,7,54,0,0
Divisible Sum Pairs - HackerRank Solutions,14,13,5,1.0769230769230769,41.84615384615385,10,52,0,0
Functions in C - HackerRank Solutions,15,13,2,1.1538461538461537,39.15384615384615,9,44,0,0
Hash Tables: Ransom Note - HackerRank Solutions,16,13,9,1.2307692307692308,56.76923076923077,7,61,0,0
Introduction to Sets Python - HackerRank Solutions,15,13,5,1.1538461538461537,38.53846153846154,6,48,0,0
Java 1D Array (Part 2) - HackerRank Solutions,15,13,9,1.1538461538461537,44,9,58,0,0
Shape and Reshape python - HackerRank Solutions,14,13,5,1.0769230769230769,31.692307692307693,12,55,0,0
The Captain's Room Python - HackerRank Solutions,14,13,5,1.0769230769230769,39.46153846153846,10,50,0,0
The Maximum Subarray - HackerRank Solutions,16,13,10,1.2307692307692308,68.23076923076923,10,66,0,0
Utopian Tree - HackerRank Solutions,16,13,5,1.2307692307692308,91.46153846153847,11,57,0,0
itertools.combinations_with_replacement() python - HackerRank Solutions,17,13,6,1.3076923076923077,57.07692307692308,9,58,0,0
Anagram - HackerRank Solutions,12,12,8,1,34.583333333333336,7,47,0,0
Check Strict Superset Python - HackerRank Solutions,12,12,6,1,24.666666666666668,10,48,0,0
Climbing the Leaderboard - HackerRank Solutions,14,12,5,1.1666666666666667,84.75,5,39,0,0
Counting Valleys - HackerRank Solutions,16,12,1,1.3333333333333333,71.83333333333333,7,42,0,0
Find Digits - HackerRank Solutions,13,12,3,1.0833333333333333,33.416666666666664,6,42,0,0
Find Merge Point of Two Lists - HackerRank Solutions,14,12,2,1.1666666666666667,41,9,46,0,0
Game of Two Stacks - HackerRank Solutions,12,12,4,1,48.666666666666664,4,35,0,0
Grading Students - HackerRank Solutions,13,12,5,1.0833333333333333,24.583333333333332,2,39,0,0
Python If-Else - HackerRank Solutions,24,12,2,2,41.666666666666664,10,71,0,0
Recursive Digit Sum - HackerRank Solutions,17,12,6,1.4166666666666667,39.083333333333336,7,59,0,0
Roads and Libraries - HackerRank Solutions,14,12,11,1.1666666666666667,21.833333333333332,8,59,0,0
Self-Driving Bus - HackerRank Solutions,13,12,2,1.0833333333333333,38.666666666666664,4,34,0,0
Text Allignment Python - HackerRank Solutions,12,12,4,1,24.5,8,42,0,0
Java BitSet - HackerRank Solutions,12,11,9,1.0909090909090908,28.363636363636363,9,51,0,0
Java If-Else - HackerRank Solutions,14,11,7,1.2727272727272727,178.1818181818182,7,48,0,0
Poisonous Plants - HackerRank Solutions,11,11,4,1,101.36363636363636,3,33,0,0
Staircase - HackerRank Solutions,12,11,1,1.0909090909090908,14.909090909090908,3,30,0,0
Structs C++ - HackerRank Solutions,14,11,7,1.2727272727272727,81.27272727272727,8,54,0,0
collections.Counter() python - HackerRank Solutions,13,11,2,1.1818181818181819,52.09090909090909,9,45,0,0
itertools.product() python - HackerRank Solutions,12,11,4,1.0909090909090908,30.818181818181817,10,43,0,0
Between Two Sets - HackerRank Solutions,10,10,2,1,36.2,0,23,0,0
Compress the String! python - HackerRank Solutions,11,10,5,1.1,14.1,6,40,0,0
Counting On a Tree - HackerRank Solutions,11,10,2,1.1,29.1,3,27,0,0
Designer PDF Viewer - HackerRank Solutions,10,10,1,1,16.1,5,28,0,0
Hotel Prices C++ - HackerRank Solutions,12,10,8,1.2,37.4,9,49,0,0
Kundu and Tree - HackerRank Solutions,12,10,0,1.2,28.2,3,30,0,0
Lazy White Falcon - HackerRank Solutions,11,10,2,1.1,23.9,2,28,0,0
List Comprehensions - HackerRank Solutions,16,10,0,1.6,106.6,6,40,0,0
Mr. X and His Shots - HackerRank Solutions,15,10,7,1.5,38.8,6,51,0,0
Set.symmetric_difference() Operation python - HackerRank Solutions,10,10,4,1,39.3,9,37,0,0
"Spies, Revised - HackerRank Solutions",11,10,8,1.1,48.6,8,48,0,0
Angry Professor - HackerRank Solutions,12,9,2,1.3333333333333333,18.555555555555557,6,37,0,0
BST maintenance - HackerRank Solutions,9,9,2,1,58,2,24,0,0
Counting the Ways - HackerRank Solutions,11,9,7,1.2222222222222223,30.22222222222222,5,46,0,0
Inner and Outer python - HackerRank Solutions,9,9,2,1,17.555555555555557,7,28,0,0
Java Inheritance I - HackerRank Solutions,9,9,5,1,81.22222222222223,6,33,0,0
Java Regex 2 - Duplicate Words - HackerRank Solutions,9,9,3,1,22.88888888888889,5,32,0,0
Maximum Subarray Sum - HackerRank Solutions,16,9,8,1.7777777777777777,134.44444444444446,7,59,0,0
Mini-Max Sum - HackerRank Solutions,10,9,1,1.1111111111111112,41.333333333333336,4,25,0,0
Queues: A Tale of Two Stacks - HackerRank Solutions,9,9,6,1,91.66666666666667,4,33,0,0
Red John is Back - HackerRank Solutions,13,9,7,1.4444444444444444,107,7,48,0,0
Repeated String - HackerRank Solutions,9,9,2,1,36.666666666666664,4,29,0,0
Sam and substrings - HackerRank Solutions,9,9,6,1,25.555555555555557,2,33,0,0
Sherlock and Squares - HackerRank Solutions,12,9,2,1.3333333333333333,60.44444444444444,4,34,0,0
String Similarity - HackerRank Solutions,13,9,6,1.4444444444444444,83,7,46,0,0
Swaps and Sum - HackerRank Solutions,10,9,3,1.1111111111111112,29.666666666666668,3,26,0,0
The Longest Common Subsequence - HackerRank Solutions,9,9,7,1,19.555555555555557,2,34,0,0
The Love-Letter Mystery - HackerRank Solutions,11,9,4,1.2222222222222223,62.44444444444444,9,44,0,0
Ticket to Ride - HackerRank Solutions,10,9,1,1.1111111111111112,28.11111111111111,1,23,0,0
Tree: Inorder Traversal - HackerRank Solutions,10,9,2,1.1111111111111112,97.77777777777777,3,28,0,0
Unique Colors - HackerRank Solutions,10,9,0,1.1111111111111112,38.22222222222222,2,24,0,0
Welcome to Java! - HackerRank Solutions,10,9,4,1.1111111111111112,18.77777777777778,6,34,0,0
XOR Strings - HackerRank Solutions,9,9,9,1,44.333333333333336,6,41,0,0
Array and simple queries - HackerRank Solutions,8,8,0,1,27.75,5,21,0,0
Athlete Sort python - HackerRank Solutions,8,8,4,1,16.125,6,29,0,0
C++ Variadics - HackerRank Solutions,9,8,3,1.125,47.875,6,32,0,0
Coloring Tree - HackerRank Solutions,9,8,1,1.125,20.75,1,20,0,0
Dot and Cross python - HackerRank Solutions,8,8,4,1,12.125,4,29,0,0
Flipping the Matrix - HackerRank Solutions,9,8,7,1.125,41.5,7,38,0,0
Heavy Light 2 White Falcon - HackerRank Solutions,9,8,2,1.125,42.5,2,25,0,0
Java Dequeue - HackerRank Solutions,13,8,5,1.625,49,6,45,0,0
Matrix Land - HackerRank Solutions,9,8,5,1.125,33.375,3,31,0,0
Maximize It! python - HackerRank Solutions,11,8,2,1.375,36.75,8,35,0,0
Nikita and the Game - HackerRank Solutions,13,8,5,1.625,59.75,7,55,0,0
Number Game on a Tree - HackerRank Solutions,8,8,1,1,16.375,0,18,0,0
Number Line Jumps - HackerRank Solutions,8,8,1,1,13.625,0,17,0,0
Polynomials python - HackerRank Solutions,17,8,0,2.125,17,8,46,0,0
Queens on Board - HackerRank Solutions,10,8,4,1.25,32.625,2,30,0,0
Set Mutations Python - HackerRank Solutions,8,8,2,1,15.375,5,26,0,0
Set.add() Python - HackerRank Solutions,9,8,3,1.125,36.375,7,35,0,0
Sherlock and Anagrams - HackerRank Solutions,10,8,1,1.25,27.25,5,28,0,0
Starfleet - HackerRank Solutions,9,8,1,1.125,23.25,1,21,0,0
Structuring the Document C - HackerRank Solutions,12,8,1,1.5,58,6,37,0,0
Triplets - HackerRank Solutions,10,8,0,1.25,27.375,2,21,0,0
Vector-Erase C++ - HackerRank Solutions,10,8,6,1.25,18.125,6,37,0,0
Almost Equal - Advanced - HackerRank Solutions,7,7,2,1,35.142857142857146,0,17,0,0
Alternating Characters - HackerRank Solutions,8,7,4,1.1428571428571428,65.57142857142857,3,25,0,0
Array Construction - HackerRank Solutions,7,7,7,1,82,5,30,0,0
Beautiful Binary String - HackerRank Solutions,12,7,3,1.7142857142857142,72.85714285714286,5,37,0,0
Box Operations - HackerRank Solutions,38,7,0,5.428571428571429,85.85714285714286,3,94,0,0
Choosing White Balls - HackerRank Solutions,7,7,5,1,14.142857142857142,2,23,0,0
Common Child - HackerRank Solutions,11,7,4,1.5714285714285714,150.71428571428572,3,36,0,0
Coolguy and Two Subsequences - HackerRank Solutions,7,7,1,1,49.285714285714285,1,17,0,0
Decibinary Numbers - HackerRank Solutions,10,7,4,1.4285714285714286,21.571428571428573,2,32,0,0
Direct Connections - HackerRank Solutions,7,7,1,1,22.285714285714285,1,15,0,0
Equal - HackerRank Solutions,7,7,4,1,52.857142857142854,6,29,0,0
Find Runne-Up Score - HackerRank Solutions,8,7,1,1.1428571428571428,75.57142857142857,5,23,0,0
Gridland Provinces - HackerRank Solutions,7,7,2,1,70.71428571428571,2,20,0,0
HackerRank in a String! - HackerRank Solutions,8,7,3,1.1428571428571428,39.57142857142857,1,27,0,0
Heavy Light White Falcon - HackerRank Solutions,9,7,0,1.2857142857142858,40,2,21,0,0
Interval Selection - HackerRank Solutions,7,7,7,1,76.57142857142857,4,32,0,0
Jumping on the Clouds: Revisited - HackerRank Solutions,10,7,2,1.4285714285714286,32.857142857142854,3,27,0,0
Lists - HackerRank Solutions,7,7,0,1,52.285714285714285,6,20,0,0
Matrix - HackerRank Solutions,10,7,5,1.4285714285714286,49.57142857142857,4,33,0,0
Max Min - HackerRank Solutions,10,7,3,1.4285714285714286,48.285714285714285,7,36,0,0
Maximum Element - HackerRank Solutions,7,7,1,1,23.857142857142858,1,15,0,0
Min and Max python - HackerRank Solutions,9,7,3,1.2857142857142858,13.285714285714286,3,26,0,0
Minimum Operations - HackerRank Solutions,7,7,4,1,9.714285714285714,2,23,0,0
Reverse Shuffle Merge - HackerRank Solutions,7,7,6,1,27.142857142857142,5,31,0,0
Sam's Puzzle (Approximate) - HackerRank Solutions,9,7,3,1.2857142857142858,62.857142857142854,6,30,0,0
Sherlock and the Valid String - HackerRank Solutions,7,7,5,1,24.142857142857142,2,24,0,0
"Small Triangles, Large Triangles C - HackerRank Solutions",8,7,0,1.1428571428571428,55,7,24,0,0
Strong Password - HackerRank Solutions,8,7,2,1.1428571428571428,19.142857142857142,4,24,0,0
Super Maximum Cost Queries - HackerRank Solutions,8,7,2,1.1428571428571428,33.142857142857146,3,22,0,0
The Minion Game Python - HackerRank Solutions,7,7,0,1,36,7,22,0,0
The Strange Function - HackerRank Solutions,8,7,3,1.1428571428571428,26.285714285714285,0,21,0,0
Tree : Top View - HackerRank Solutions,7,7,4,1,27.571428571428573,4,28,0,0
Viral Advertising - HackerRank Solutions,7,7,1,1,13.571428571428571,6,23,0,0
ginortS python - HackerRank Solutions,7,7,5,1,12.714285714285714,4,29,0,0
Almost sorted interval - HackerRank Solutions,6,6,0,1,24.333333333333332,1,15,0,0
Append and Delete - HackerRank Solutions,6,6,0,1,31.333333333333332,3,16,0,0
Array Mathematics Python - HackerRank Solutions,7,6,0,1.1666666666666667,64.83333333333333,5,21,0,0
Class 2 - Find the Torsional Angle python - HackerRank Solutions,6,6,2,1,19.666666666666668,5,23,0,0
Condition Statements in c - HackerRank Solutions,7,6,4,1.1666666666666667,36.166666666666664,5,25,0,0
Construct the Array - HackerRank Solutions,7,6,4,1.1666666666666667,32,4,26,0,0
Drawing Book - HackerRank Solutions,8,6,0,1.3333333333333333,29.833333333333332,5,23,0,0
Electronics Shop - HackerRank Solutions,6,6,0,1,34.666666666666664,5,16,0,0
Exceptional Server C++ - HackerRank Solutions,6,6,2,1,22.166666666666668,5,22,0,0
Extra long Factorials - HackerRank Solutions,7,6,3,1.1666666666666667,62,2,21,0,0
"Floor, Ceil and Rint python - HackerRank Solutions",6,6,1,1,8.666666666666666,5,20,0,0
Gemstones - HackerRank Solutions,6,6,3,1,107.83333333333333,4,22,0,0
Jaggu Playing with Balloons - HackerRank Solutions,6,6,0,1,53.5,0,12,0,0
Java Anagrams - HackerRank Solutions,6,6,3,1,44,3,21,0,0
Java Method Overriding 2 (Super Keyword) - HackerRank Solutions,6,6,2,1,25.5,4,22,0,0
Java Priority Queue - HackerRank Solutions,7,6,3,1.1666666666666667,33.666666666666664,6,28,0,0
Making Candies - HackerRank Solutions,7,6,5,1.1666666666666667,56.833333333333336,6,32,0,0
Merge the Tools! Python - HackerRank Solutions,7,6,1,1.1666666666666667,40.166666666666664,5,23,0,0
Minimum Absolute Difference in an Array - HackerRank Solutions,10,6,3,1.6666666666666667,37.666666666666664,5,33,0,0
Morgan and a String - HackerRank Solutions,6,6,3,1,45.333333333333336,4,23,0,0
Play with words - HackerRank Solutions,7,6,3,1.1666666666666667,17.833333333333332,3,25,0,0
Queries with Fixed Length - HackerRank Solutions,7,6,3,1.1666666666666667,48.5,4,24,0,0
Recalling Early Days GP with Trees - HackerRank Solutions,6,6,0,1,20.166666666666668,0,12,0,0
Simple Text Editor - HackerRank Solutions,9,6,2,1.5,29.166666666666668,3,28,0,0
Strings C++ - HackerRank Solutions,6,6,5,1,31.666666666666668,4,23,0,0
Tara's Beautiful Permutations - HackerRank Solutions,8,6,2,1.3333333333333333,21.5,5,28,0,0
Text Wrap Python - HackerRank Solutions,8,6,2,1.3333333333333333,36.666666666666664,4,24,0,0
The crazy helix - HackerRank Solutions,6,6,1,1,18.333333333333332,1,14,0,0
Time Delta python - HackerRank Solutions,7,6,1,1.1666666666666667,31.5,5,22,0,0
Triangle Quest Python - HackerRank Solutions,7,6,2,1.1666666666666667,22.5,6,23,0,0
Virtual Functions C++ - HackerRank Solutions,6,6,2,1,28.5,4,21,0,0
Zig Zag Sequence - HackerRank Solutions,6,6,2,1,13.166666666666666,5,23,0,0
sWAP cASE - HackerRank Solutions,8,6,0,1.3333333333333333,127.5,3,20,0,0
AND xor OR - HackerRank Solutions,6,5,0,1.2,23.6,0,13,0,0
Arrays: Left Rotation - HackerRank Solutions,6,5,0,1.2,22.8,2,15,0,0
Box It! C++ - HackerRank Solutions,6,5,3,1.2,36.8,5,25,0,0
Caesar Cipher - HackerRank Solutions,5,5,1,1,361.4,3,16,0,0
